dummy_id,gene_id
759,ANP32D|23519
760,ANP32E|81611
761,ANPEP|290
762,ANTXR1|84168
763,ANTXR2|118429
764,ANTXRL|195977
765,ANUBL1|93550
766,ANXA10|11199
767,ANXA11|311
768,ANXA13|312
769,ANXA1|301
770,ANXA2P1|303
771,ANXA2P2|304
772,ANXA2P3|305
773,ANXA2|302
774,ANXA3|306
775,ANXA4|307
776,ANXA5|308
777,ANXA6|309
778,ANXA7|310
779,ANXA8L1|728113
780,ANXA8L2|244
781,ANXA8|653145
782,ANXA9|8416
783,AOAH|313
784,AOC2|314
785,AOC3|8639
786,AOX1|316
787,AOX2P|344454
788,AP1AR|55435
789,AP1B1|162
790,AP1G1|164
791,AP1G2|8906
792,AP1M1|8907
793,AP1M2|10053
794,AP1S1|1174
795,AP1S2|8905
796,AP1S3|130340
797,AP2A1|160
798,AP2A2|161
799,AP2B1|163
800,AP2M1|1173
801,AP2S1|1175
802,AP3B1|8546
803,AP3B2|8120
804,AP3D1|8943
805,AP3M1|26985
806,AP3M2|10947
807,AP3S1|1176
808,AP3S2|10239
809,AP4B1|10717
810,AP4E1|23431
811,AP4M1|9179
812,AP4S1|11154
813,APAF1|317
814,APBA1|320
815,APBA2|321
816,APBA3|9546
817,APBB1IP|54518
818,APBB1|322
819,APBB2|323
820,APBB3|10307
821,APC2|10297
822,APCDD1L|164284
823,APCDD1|147495
824,APCS|325
825,APC|324
826,APEH|327
827,APEX1|328
828,APEX2|27301
829,APH1A|51107
830,APH1B|83464
831,API5|8539
832,APIP|51074
833,APITD1|378708
834,APLF|200558
835,APLNR|187
836,APLN|8862
837,APLP1|333
838,APLP2|334
839,APOA1BP|128240
840,APOA1|335
841,APOA2|336
842,APOA4|337
843,APOA5|116519
844,APOB48R|55911
845,APOBEC1|339
846,APOBEC2|10930
847,APOBEC3A|200315
848,APOBEC3B|9582
849,APOBEC3C|27350
850,APOBEC3D|140564
851,APOBEC3F|200316
852,APOBEC3G|60489
853,APOBEC3H|164668
854,APOBEC4|403314
855,APOB|338
856,APOC1P1|342
857,APOC1|341
858,APOC2|344
859,APOC3|345
860,APOC4|346
861,APOD|347
862,APOE|348
863,APOF|319
